DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,,,,
0b8127e4-fce0-43bc-b949-1d6ded30034f,316572,OB2017Tank1,8/31/2017 3:55,21.8,21.8° C,100,,,7/22/2017 5:20,22.7
47b742b4-67e4-4b0b-af21-1307a621469b,316572,OB2017Tank1,8/31/2017 3:45,21.9,21.9° C,100,,,7/22/2017 5:30,22.8
3fb37128-efd2-4459-9d41-0028929c8122,316572,OB2017Tank1,8/31/2017 3:35,21.8,21.8° C,100,,,7/22/2017 5:40,22.7
fa5437cf-b22b-4131-a6c9-29f9bad2be3f,316572,OB2017Tank1,8/31/2017 3:25,21.8,21.8° C,100,,,7/22/2017 5:50,22.7
b44c72fe-ed35-4602-849d-828ad82b580f,316572,OB2017Tank1,8/31/2017 3:15,21.8,21.8° C,100,,,7/22/2017 5:59,22.7
84d10af7-0c20-48e9-826b-77c6c4a27b70,316572,OB2017Tank1,8/31/2017 3:05,21.8,21.8° C,100,,,7/22/2017 6:09,22.7
fa273905-ef9d-4d3c-9ea1-c4032b4e1c05,316572,OB2017Tank1,8/31/2017 2:55,21.9,21.9° C,100,,,7/22/2017 6:19,22.7
0d5338fc-7f97-433d-acef-18f6cd87aecf,316572,OB2017Tank1,8/31/2017 2:46,21.8,21.8° C,100,,,7/22/2017 6:29,22.7
c1c2d79d-7d15-4700-8c16-6ec2748cdf2a,316572,OB2017Tank1,8/31/2017 2:36,21.8,21.8° C,100,,,7/22/2017 6:39,22.7
978b9c36-784a-41b1-ba87-4fb07a6606db,316572,OB2017Tank1,8/31/2017 2:26,21.8,21.8° C,100,,,7/22/2017 6:49,22.8
7e63f6ae-2d17-470a-872f-ac2718ca1fd7,316572,OB2017Tank1,8/31/2017 2:16,21.8,21.8° C,100,,,7/22/2017 6:59,22.7
e12f4ad7-4ab9-48ca-9570-57e994ca3b07,316572,OB2017Tank1,8/31/2017 2:06,21.8,21.8° C,100,,,7/22/2017 7:09,22.8
d4fc912c-eb0e-47f7-8115-f2347045e146,316572,OB2017Tank1,8/31/2017 1:56,21.8,21.8° C,100,,,7/22/2017 7:18,22.7
1928ff22-01d9-4be4-9ee7-7fee671bf500,316572,OB2017Tank1,8/31/2017 1:46,21.8,21.8° C,100,,,7/22/2017 7:28,22.7
ed20879a-8570-4035-9b04-10cc6f6e3d7b,316572,OB2017Tank1,8/31/2017 1:36,21.8,21.8° C,100,,,7/22/2017 7:38,22.7
c872e4af-8cad-4dea-8a5d-94c49c2b3a59,316572,OB2017Tank1,8/31/2017 1:26,21.8,21.8° C,100,,,7/22/2017 7:48,22.8
7e130bae-7f89-4f9a-b655-9d506d1be060,316572,OB2017Tank1,8/31/2017 1:16,21.8,21.8° C,100,,,7/22/2017 7:58,22.8
f2592c6c-a997-4fd5-a05d-b048b42ef732,316572,OB2017Tank1,8/31/2017 1:06,21.8,21.8° C,100,,,7/22/2017 8:08,22.8
5134c96d-98ca-4cf9-89f4-67898eb0169f,316572,OB2017Tank1,8/31/2017 0:56,21.7,21.7° C,100,,,7/22/2017 8:18,22.7
47768306-7c61-402d-8375-f6e38889700d,316572,OB2017Tank1,8/31/2017 0:47,21.8,21.8° C,100,,,7/22/2017 8:28,22.8
6c2678c8-65e8-44ad-9b7b-97a17d9b9b57,316572,OB2017Tank1,8/31/2017 0:37,21.8,21.8° C,100,,,7/22/2017 8:37,22.7
9ed797eb-d404-4c2a-8ea5-f76899be8680,316572,OB2017Tank1,8/31/2017 0:27,21.8,21.8° C,100,,,7/22/2017 8:47,22.8
5d32407f-95d3-4b8c-9a1b-daa3092cd194,316572,OB2017Tank1,8/31/2017 0:17,21.8,21.8° C,100,,,7/22/2017 8:57,22.8
9bd850bf-2acf-468c-a5d4-dfd31d2845c8,316572,OB2017Tank1,8/31/2017 0:07,21.7,21.7° C,100,,,7/22/2017 9:07,22.7
d8584720-6699-4f94-a70d-3ad8153b9126,316572,OB2017Tank1,8/30/2017 23:57,21.8,21.8° C,100,,,7/22/2017 9:17,22.7
4c5d316c-1360-4b74-83fa-ab97fa12d4e1,316572,OB2017Tank1,8/30/2017 23:47,21.8,21.8° C,100,,,7/22/2017 9:27,22.8
fd62f3da-669e-48a9-b6b7-328f5cc562e2,316572,OB2017Tank1,8/30/2017 23:37,21.8,21.8° C,100,,,7/22/2017 9:37,22.7
acca2724-768b-4727-9f9c-a120882798da,316572,OB2017Tank1,8/30/2017 23:27,21.8,21.8° C,100,,,7/22/2017 9:47,22.7
9386e493-1dab-4bd8-9c4f-b38b13a81340,316572,OB2017Tank1,8/30/2017 23:17,21.7,21.7° C,100,,,7/22/2017 9:57,22.7
5c414bec-9859-4db7-8094-416a411c8031,316572,OB2017Tank1,8/30/2017 23:07,21.8,21.8° C,100,,,7/22/2017 10:06,22.8
20ad950a-e82c-4c3d-95b1-ca26cc86bbeb,316572,OB2017Tank1,8/30/2017 22:57,21.8,21.8° C,100,,,7/22/2017 10:16,22.8
6b679af2-5416-43ee-b55a-f7f88b7c3157,316572,OB2017Tank1,8/30/2017 22:47,21.8,21.8° C,100,,,7/22/2017 10:26,22.7
e6fd2b59-f828-4172-83b2-f8164e932163,316572,OB2017Tank1,8/30/2017 22:38,21.8,21.8° C,100,,,7/22/2017 10:36,22.7
